first_page_type,unique_users,pct_all_users,later_reached_eligible,never_reached_eligible,pct_later_eligible,reached_hub
product_page,17665,27.637837161274174,17665,0,100.0,11058
feed_recommendations,16326,25.542900056323926,12646,3680,77.45926742619135,11399
other,14688,22.98016146191877,11404,3284,77.64161220043573,9295
homepage,8833,13.819700857375306,8833,0,100.0,6248
search_results,4977,7.786782652231053,4186,791,84.10689170182842,3583
seller_store,398,0.6226922836222543,327,71,82.1608040201005,269
cart,385,0.6023530884285625,316,69,82.07792207792208,272
category_listing,278,0.4349458664497152,102,176,36.69064748201439,74
promo_landing,141,0.22060204017773327,102,39,72.34042553191489,67
account_profile,113,0.17679454283747417,94,19,83.1858407079646,76
unknown,48,0.07509856686901559,34,14,70.83333333333333,4
order_checkout,38,0.059453032104637336,30,8,78.94736842105263,17
review_rating,20,0.031291069528756495,18,2,90.0,13
help_service,6,0.009387320858626948,5,1,83.33333333333333,5
